,nodename,bsize,numjobs,stripecount,95per,99per,99.9per,99.99per,min_iops,max_iops,avg_iops,throughput,pm1_nvme0_io,pm1_nvme1_io,pm1_nvme2_io,pm1_nvme3_io,pm1_nvme0_write,pm1_nvme1_write,pm1_nvme2_write,pm1_nvme3_write,pm2_nvme0_io,pm2_nvme1_io,pm2_nvme2_io,pm2_nvme3_io,pm2_nvme0_write,pm2_nvme1_write,pm2_nvme2_write,pm2_nvme3_write
43,CN9,8G,4,2,4368.0,10080.0,16764.0,42939.0,389.0,1448.0,781.06,2928.8,9717.26,9355.97,9281.29,8996.47,1149.57,1093.87,1088.83,1044.72,9217.79,8828.32,8491.01,8913.46,1092.34,1043.81,985.89,1044.56
44,CN9,8G,4,4,4673.0,11600.0,19582.0,30409.0,430.0,1431.0,759.07,2994.0,9125.57,9094.74,8905.32,9336.13,1083.97,1082.06,1055.5,1108.37,8744.51,9042.83,8778.42,8882.18,1056.96,1059.89,1057.21,1058.91
45,CN9,8G,4,8,2653.0,12963.0,22466.0,43464.0,511.0,1421.0,848.35,3455.4,9594.32,9519.09,9590.89,9658.24,1150.24,1133.78,1145.68,1145.56,9258.31,9556.82,9241.27,9376.1,1113.0,1122.42,1112.96,1121.17
46,CN9,8G,4,12,3836.0,13828.0,22413.0,34918.0,452.0,1375.0,776.56,3145.2,9431.71,9597.53,9284.17,9571.18,1119.35,1136.47,1120.08,1126.57,9029.37,9354.92,8968.26,9180.82,1086.5,1107.2,1074.63,1080.34
47,CN9,8G,4,24,2312.0,12544.0,24301.0,40737.0,526.0,1403.0,852.8,3498.8,9542.84,9593.02,9215.02,9475.84,1136.5,1145.66,1114.18,1133.71,9160.29,9508.48,9345.93,9246.41,1106.28,1128.36,1125.27,1104.7
48,CN9,8G,8,1,8900.0,16266.0,24563.0,50122.0,163.0,1484.0,417.39,2872.2,10174.27,9886.55,9911.38,9934.97,1191.49,1189.3,1187.64,1184.19,9767.7,9740.03,9852.03,10015.36,1160.39,1160.12,1161.1,1163.36
49,CN9,8G,8,2,11076.0,17564.0,26031.0,44303.0,149.0,1447.0,387.87,2891.0,10044.41,10010.69,10025.71,10245.54,1192.37,1191.46,1191.85,1221.3,9671.01,9831.77,9778.85,9954.86,1167.35,1170.53,1143.56,1171.47
50,CN9,8G,8,4,12413.0,19268.0,30330.0,57619.0,157.0,1374.0,389.7,2897.6,9974.52,10011.81,9928.76,10008.16,1185.4,1197.17,1183.53,1171.06,9792.69,9675.36,9941.19,10085.01,1176.81,1161.54,1179.25,1193.9
51,CN9,8G,8,8,16882.0,24248.0,38221.0,56675.0,204.0,1389.0,369.22,2970.6,10112.37,9937.5,9840.58,10016.86,1217.71,1193.87,1185.38,1201.53,9790.13,9928.69,9751.72,9691.23,1184.93,1187.86,1178.18,1170.33
52,CN9,8G,8,12,15231.0,23672.0,38247.0,63177.0,209.0,1326.0,366.99,2910.4,9871.69,9833.37,9784.77,9752.04,1173.16,1184.0,1185.68,1172.84,9784.45,9918.05,9669.65,9638.92,1172.3,1191.22,1173.94,1164.67
53,CN9,8G,8,24,17747.0,26922.0,41891.0,63754.0,222.0,1398.0,365.83,2982.2,10100.65,9924.4,9845.46,9994.17,1204.52,1196.66,1190.36,1200.03,9765.64,9817.73,9718.8,9888.94,1182.41,1174.52,1175.45,1187.85
54,CN9,8G,16,1,18612.0,25297.0,36438.0,69337.0,100.0,1472.0,195.55,2899.0,10437.08,10441.88,10413.75,10507.88,1258.59,1251.97,1257.71,1256.23,10476.62,10580.83,10451.55,10294.65,1254.08,1251.28,1253.1,1253.59
